user_id,content_id,revenue_amount,revenue_type,transaction_date
32634,4185,11.27,Subscription,2022-08-19
8722,4695,14.26,Advertisement,2022-11-30
95344,2912,7.75,Advertisement,2021-10-06
37553,228,8.47,Subscription,2021-08-08
36763,1277,3.49,Subscription,2023-04-17
13047,3336,7.92,Advertisement,2023-01-14
9671,3567,6.43,Subscription,2023-03-06
43780,1661,8.95,Subscription,2021-03-07
13301,2230,3.08,Advertisement,2020-12-19
62161,2964,2.07,Advertisement,2023-03-24
77721,4492,7.35,Subscription,2023-01-30
12154,304,12.39,Advertisement,2022-09-02
75195,2900,14.27,Advertisement,2022-09-06
33708,1427,11.72,Subscription,2023-04-16
21233,921,10.24,Advertisement,2020-07-21
57548,2381,1.61,Subscription,2023-01-02
46384,385,3.79,Advertisement,2022-05-13
96130,4645,21.57,Advertisement,2021-09-05
35987,3006,12.61,Advertisement,2022-01-17
93210,1980,8.29,Advertisement,2023-02-09
20198,1119,4.42,Advertisement,2021-04-01
83106,409,18.05,Advertisement,2021-03-26
11631,1377,11.45,Subscription,2022-01-07
12435,933,13.83,Advertisement,2023-03-11
17117,4374,25.55,Subscription,2022-07-22
56320,2441,2.12,Advertisement,2022-12-13
9107,3696,59.47,Advertisement,2023-01-06
41568,1329,17.06,Advertisement,2023-02-05
3967,1317,18.82,Advertisement,2021-10-02
41634,3334,26.14,Subscription,2022-12-27
76003,3556,14.75,Advertisement,2021-02-25
14351,2259,23.87,Subscription,2023-01-30
32925,4565,19.42,Subscription,2021-06-30
55480,4722,12.59,Subscription,2023-02-22
18984,4003,6.18,Advertisement,2023-04-18
20446,1779,14.54,Subscription,2022-04-06
99912,2779,6.45,Advertisement,2023-04-14
64882,3263,7.83,Subscription,2022-10-09
91252,55,11.85,Advertisement,2023-02-12
95715,3929,64.3,Advertisement,2023-03-31
98495,745,10.18,Advertisement,2023-01-12
63964,4803,2.95,Advertisement,2022-10-13
54506,2559,7.16,Advertisement,2021-01-14
42812,1520,22.92,Subscription,2023-03-12
12528,3332,2.99,Advertisement,2023-03-24
82324,2157,6.72,Advertisement,2022-09-28
49242,924,29.52,Advertisement,2022-11-27
52698,1093,13.37,Advertisement,2023-04-13
39770,1100,8.47,Subscription,2021-12-25
59986,214,9.0,Subscription,2022-10-17
16538,1787,2.18,Advertisement,2021-09-10
90651,2089,1.46,In-app Purchase,2022-01-13
94830,4314,6.38,Advertisement,2023-01-10
85639,4194,2.73,Subscription,2021-11-30
59519,3159,2.91,Subscription,2022-03-31
83810,1394,5.96,Advertisement,2022-07-19
88908,2038,8.96,Advertisement,2023-02-24
68890,4438,6.63,In-app Purchase,2023-04-15
